sku,category,brand,price,launch_date,returnable
SKU-00000,electronics,ACME,743.39,2024-03-02,True
SKU-00001,home,Globex,679.26,2022-07-16,True
SKU-00002,electronics,Soylent,41.43,2024-10-16,True
SKU-00003,music,StarkIndustries,605.4,2022-02-25,True
SKU-00004,books,Soylent,228.02,2023-05-11,True
SKU-00005,apparel,Initech,700.46,2023-09-12,True
SKU-00006,home,Januszex,956.68,2020-10-18,True
SKU-00007,electronics,Soylent,105.65,2022-10-22,True
SKU-00008,toys,ACME,731.7,2024-02-08,True
SKU-00009,sports,Globex,555.97,2024-11-02,True
SKU-00010,beauty,Januszex,706.82,2024-04-17,True
SKU-00011,music,Umbrella,984.38,2024-09-20,True
SKU-00012,electronics,Soylent,284.92,2025-03-09,True
SKU-00013,beauty,Initech,376.11,2024-03-24,True
SKU-00014,toys,Globex,612.43,2021-03-03,True
SKU-00015,music,Initech,467.18,2021-02-16,True
SKU-00016,books,Januszex,687.08,2022-01-07,True
SKU-00017,apparel,Januszex,822.76,2023-06-07,True
SKU-00018,sports,Umbrella,75.46,2025-05-07,False
SKU-00019,beauty,Januszex,658.23,2020-12-08,True
