return_id,order_id,user_id,sku,return_reason,return_date
73d21708-5ff4-4458-9072-5365bd126724,9cef3193-af80-4103-830a-02a0345fab3b,f7b4a1c4-00ad-4305-b568-0fb7afb042b6,SKU-00085,didn't match,2023-11-28
3b9daa17-884e-453e-9cdc-59aedcc4ed25,f4b08102-aca2-4bdd-8c33-4ee7f71bed2f,fe151c58-9555-4506-827b-5cd438d84dcb,SKU-00993,no reason,2025-01-18
33053471-6673-4110-bcb1-7f7bdad3110b,cf2da5ea-1046-4009-a1ea-9b08d731db0d,e63da168-7f02-40a7-9c2d-615ede5a566d,SKU-00685,didn't match,2023-12-06
5b4cfee1-49e3-41e4-a98e-ef20f964fd73,adce0b9c-8f12-4e93-b280-03cf1a8e673d,01fd077e-b4f2-499c-bda4-35da52a8cee9,SKU-00706,changed mind,2023-02-14
5058bbbe-98a0-4493-8d51-4027af697bd3,4249c033-170c-4856-977c-36da077aebac,d2bf2db2-0bfe-4397-a3d8-6c15a1e53073,SKU-00152,changed mind,2025-07-23
2ab08976-9886-4328-a1c1-9bfca1fc8dac,bd50244a-776d-4198-b95a-f6a289030b45,53bb84ae-0b97-4348-8434-cbb9a5ebcaaa,SKU-00656,wrong size,2025-08-05
ace036bf-be54-462f-a007-29b95865a098,0dd65d38-6649-4f7f-85a5-53c1c60cd703,58f5de5b-daf7-46e8-b840-fa57f972aff9,SKU-00776,delayed,2025-03-17
b998d8bf-b7f8-473d-bbdd-93aef4bec999,d6ade52b-11f0-4acd-80c4-40d4b5b64036,e1df0bdb-c3e5-4376-861d-6ddd7b0d44a3,SKU-00633,changed mind,2025-04-25
29494782-5cc7-41fd-81bc-e59c663d60fc,795cb2f1-bc34-45b4-82fb-29f117e1d198,a21e19e7-b20e-4d6a-a257-a9e32d183be4,SKU-00478, hate it,2023-05-17
6ccd85e4-9943-4d7c-be97-bc20a0c54b18,671d800b-bdbb-4d4b-b81c-97bd3e5dc40c,cfbb0001-8183-45bc-9827-a17a65471450,SKU-00046,not needed,2023-08-03
38359098-dcdc-484a-982b-7d53d748e565,dfe4995d-ce6f-4196-a4df-a5fa9032b5fe,ffd681c1-4b4b-426c-b554-069b5d299241,SKU-00582,too small,2025-05-30
b4e96b4f-d99c-4fd2-886f-bd95905a95f9,ef76b8b5-b1ad-452e-899b-9843f37bdba0,666e828d-8621-45a8-8e49-ef6b1cf6ed65,SKU-00441,not needed,2021-11-25
ff8aa09c-b4b9-44b2-b0b8-3b43ec55e108,8b2f6e3d-4994-4f55-9bfb-1093e6e44ce1,5eed956a-d179-4d37-8871-116cee2aaac0,SKU-00786,wrong size,2021-09-05
218133b4-4d0c-4ef1-a374-67635a96b008,c9579a5d-460e-4ff1-8614-8ca149f84632,272eb181-3171-45ab-885e-93d6c12b97e8,SKU-00954,wrong size,2025-02-07
